Id,Pop_2018,Elder_Rate,Dev_Ind_2004,Pop_Chg_2008-2018_per1000,Fac_Soc,Fac_Comm,Fac_Trans,Fac_Rec_Att,Urban(ha),Indust(ha),Dist_to_Tekirdag,Weig_Deg,Eigen_Cent
Babaeski,-0.2360728699334301,0.2093201515180703,0.0037355080396975,-0.4017909147202152,-0.3362369640838266,-0.4746444498374768,-0.370763374955851,-0.6715618542445516,0.9898137287138874,0.1301604557105115,-0.2758817853168526,1.459034612869616,1.416256562186881
Cerkezkoy,1.513308640823043,-1.905088283328632,1.578895366830779,1.117308289454975,2.542618364766127,2.835071405768652,2.641689046560439,1.124300182948744,-0.3600692254992978,1.444567682265809,-0.2209195983558827,0.4168670322484617,-0.0209842978614829
Corlu,2.932828648617995,-1.438536050676722,2.469785346080065,0.9612566998241354,1.025383799561422,0.2333617770061023,1.065944702998072,0.9922515037433544,0.4414237782083573,1.683550813375605,-0.7765401150314045,1.250601096745385,0.0444979755035368
Demirkoy,-0.8167177677332906,0.0365230283136595,-0.5858541907675502,0.1667057516478069,-0.8030783687621974,-0.3552217127795237,-0.6488359061727392,-0.6187423825623959,-1.456849125711969,-0.8257720720957258,0.8919329072069968,-1.042167580621154,-1.220242200662655
Edirne,1.713338429270662,-0.8745890758550532,1.474269433688193,1.420253178346732,1.997970059308028,0.1565900174688467,1.34401723421496,1.229939126313055,1.158549098275674,1.205584549552654,1.254912929614973,0.8337340644969234,1.001921022624281
Enez,-0.7902254194775231,0.9005086443357146,0.1044824920497128,0.2519020717487349,-0.8030783687621974,-0.6367181644161275,-0.6951813280422207,-0.6187423825623959,-1.161562229435064,-0.7660262891098402,1.504113263707085,-1.250601096745385,-1.384953601681794
Ergene,-0.028226878347328,-1.037960901430133,-0.787570115004976,0.1327622972326317,0.247314791764137,0.1395296264605677,0.6951813280422207,0.0943204851467067,0.1883207250062323,3.4161785207359,-0.9386886856208494,0.4168670322484617,0.6411449742005865
Havsa,-0.6711206680610471,0.6648762036024269,-0.5841630957778731,-0.8860266926670318,-0.8030783687621974,-0.628187968911988,-0.5561450624337765,-0.6979715900856295,-0.4444369102801912,-0.1685684592189167,0.5127217055858513,1.250601096745385,0.6765009766602277
Hayrabolu,-0.4762327296931871,0.1621936633714132,-0.6260705434908095,-1.069571495916016,-0.6085611168128763,-0.6367181644161275,-0.6488359061727392,-0.5395131750391623,0.357056093427464,-0.2880600250944865,-1.138106420952145,-0.0521083790310577,1.219684027390998
Ipsala,-0.5447759553253708,0.177902492753632,-0.969447381144752,-0.7255103104832138,-0.8419818191520616,-0.645248359920267,-0.6951813280422207,-0.6715618542445516,0.1883207250062323,-0.8257720720957258,0.4631909481302184,-0.5210837903105772,-0.8856852102427397
Kapakli,0.7759111927468654,-1.804551775282429,-0.787570115004976,0.1327622972326317,1.453321753849928,3.261581180975628,1.483053499823404,1.282758597995211,-0.4022530673194667,-0.1685684592189167,-0.171230954137203,-0.2084335161242309,0.2026722120798463
Kesan,0.296596202553281,-0.3719065356240394,0.1053808862629788,0.8568299600852332,0.5585423948830508,-0.0481346746305014,-0.3244179530863696,0.3055983718753297,0.7367106743712069,0.0704146728528945,-0.1754824042629995,0.364758653217404,-0.4669194846231145
Kirklareli,0.5694540916995486,-0.5761213175928886,0.341457746821907,1.654905363558213,0.3251216925438654,-0.4064028858043608,-0.0463454218694813,0.1471399568288625,0.9898137287138874,-0.049076893183011,0.6125133474585095,0.364758653217404,1.080673739808245
Kofcaz,-0.9160825429814984,2.251467971206564,-1.042249020450353,-1.637416126820585,-0.9586921703216544,-0.662308750928546,-0.6951813280422207,-0.4074644958337729,-1.456849125711969,-0.8257720720957258,1.345651479566609,-1.459034612869616,-1.363873760647685
Lalapasa,-0.852370883372536,0.7434203505135228,-1.06455033562672,-1.288302227494157,-0.8808852695419259,-0.645248359920267,-0.6488359061727392,-0.6979715900856295,-0.9928268602154436,-0.5867889401842504,1.769283486337647,-1.14638433868327,-1.152713291968226
Luleburgaz,1.236239753766629,-0.7960449289439573,1.412555035908662,0.9838681693845626,0.753059646832372,0.1309994309564282,0.0,0.5432859944450306,1.158549098275674,1.743296596553894,-0.9126190101323082,3.230719499925578,3.120153388446294
Malkara,-0.1715485616049658,0.1621936633714132,-0.5734774893118507,-0.3815039365118985,-0.6085611168128763,-0.577006795887151,-0.6024904843032579,-0.6715618542445516,1.706939047640649,-0.049076893183011,-0.9132101206932398,-0.2605418951552886,-0.4062545985936566
Marmaraereglisi,-0.5687860311288411,-0.1991094124196282,2.11361960256669,0.3845767448167171,-0.6474645672027405,-0.5684766003830114,-0.6951813280422207,-0.2225963449462278,0.0617691972646144,-0.4075515911303921,0.0110121406046163,-0.2084335161242309,-0.7740706702634753
Meric,-0.7412448648384439,1.513152990242263,-1.40437587380234,-1.054090399102922,-0.9586921703216544,-0.645248359920267,-0.6951813280422207,-0.7507910617677852,-0.9084591755486054,-0.8257720720957258,0.7619895189595091,-1.042167580621154,-0.9817815275523336
Muratli,-0.5294242822424136,-0.6703742938862036,0.3133115845874681,0.815042755205603,0.5196389444931866,1.333756997040099,0.370763374955851,0.0415010134645509,-0.6553561216621472,-0.2283142422368694,-1.910534946458645,0.2084335161242309,0.8276201042263145
Pehlivankoy,-0.8983963517588804,1.968709042326619,-0.5973747753847256,-2.253983555160336,-0.91978871993179,-0.6537785554244065,-0.6024904843032579,-0.7243813259267073,-1.203746071825511,-0.8257720720957258,0.3791619045724205,-0.8337340644969234,-0.4226980814613892
Pinarhisar,-0.6795722147438686,0.6805850329846458,-0.3960076394889208,-0.7144756368647063,-0.569657666423012,-0.5684766003830114,-0.6024904843032579,-0.4866937033570065,-0.7819076486053764,-0.4075515911303921,-0.2309787785558082,-0.364758653217404,0.0168809700265986
Saray,-0.2255084365799032,-0.7175007820328613,-0.0581268605514291,0.7109742997689124,0.8697699980019648,0.5319186196509851,0.2780725312168882,0.2263691643520961,-0.0225984875162791,-0.4075515911303921,-0.3936597487585314,-0.4168670322484617,0.1864902157898268
Sarkoy,-0.4699088451123347,0.5077879097802351,-0.125231623610555,0.7982994584836717,-0.6863680175926047,-0.4661142543333374,-0.6951813280422207,-0.6715618542445516,-0.4866207524425269,-0.706280506107921,-0.1983362010726572,-0.364758653217404,-0.8942690100149782
Suleymanpasa,2.003424471270374,-0.8274625877083955,1.182766934842596,1.587762931079328,1.764549356968842,1.197273868973867,2.919761577777327,3.976551653785155,2.466248209528135,0.4886351538182282,-2.601042659367187,0.8858424435279811,0.2612200625474341
Suloglu,-0.8467266686298125,0.4292437628691392,-0.7203173811342535,-0.3297958654741041,-0.7641749183723332,-0.645248359920267,-0.6488359061727392,-0.6979715900856295,-0.9928268602154436,-0.5270431571662977,1.237431255456812,-1.042167580621154,-0.7469062377095023
Uzunkopru,-0.0426033729668828,0.4606614216335774,-0.3458561037013083,-0.832392372928733,-0.6085611168128763,-0.5087652318540349,-0.4634542186948138,-0.6451521184034738,1.285100624876737,-0.5867889401842504,-0.0351627285946939,0.1042167580621154,0.1468096276218518
Vize,-0.5355560862168383,0.3506996159580433,-0.4320173934253583,-0.4003507337259691,-0.2584300633040981,-0.0481346746305014,-0.4634542186948138,-0.169776873264072,-0.4022530673194667,-0.706280506107921,0.1484792701091441,-0.5731921693416349,-0.1211738858298945
